Année	Ressources physiques	Ressources électroniques
2003	20498483.0	4390212.0
2004	22383838.0	5627796.0
2005	28304916.0	6249562.0
2006	27010671.0	8098686.0
2007	29129613.0	9009414.0
2008	41402468.0	14041452.0
2009	43084157.0	16368351.0
2010	43895034.0	16986912.0
2011	44765522.0	47145413.0
2012	45725270.0	141442235.0
2013	46716826.0	50857421.0
2014	47685103.0	61719747.0
2015	48587520.0	0.0
2016	49660054.0	0.0
2017	48097431.0	0.0
2018	48716941.0	0.0
